Revenus fiscaux localisés des ménages - Année 2009,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC09,RFUCQ109,RFUCQ209,RFUCQ309,RFUCIQ09,RFUCD109,RFUCD209,RFUCD309,RFUCD409,RFUCD609,RFUCD709,RFUCD809,RFUCD909,RFUCRD09,RFUCET09,RFUCMO09,RFUCGI09
3114,31,Douai,162094.7,9743,15547,22471,12728,4874,8390,11034,13332,17971,20799,24518,30841,6.3,15526.68,17674.74,0.3629
3115,31,Valenciennes,228169.0,8757,14632,21518,12761,3921,7464,10011,12377,17058,19831,23468,29587,7.5,18992.07,16775.55,0.3820
3116,31,Cambrai,118830.9,10129,15738,22151,12022,5362,8775,11371,13581,17995,20568,24100,30431,5.7,17207.86,17935.54,0.3605
3117,31,Maubeuge,154022.1,8550,14554,21496,12946,3471,7201,9855,12251,17030,19822,23451,29744,8.6,14085.74,16543.72,0.3850
3121,31,Arras,157643.0,11457,17387,24353,12896,6626,10072,12733,15078,19845,22639,26482,33478,5.1,17066.41,19858.06,0.3487
3122,31,Lens - Hénin,239831.6,8215,13809,19892,11677,3619,7051,9385,11649,15936,18432,21593,26794,7.4,13008.63,15284.14,0.3676
3123,31,Béthune - Bruay,192237.6,10097,15638,22142,12045,5445,8784,11339,13507,17902,20563,23996,29982,5.5,15095.81,17608.89,0.3510
3124,31,Saint-Omer,76452.7,10086,15440,21635,11549,5733,8832,11189,13336,17636,20106,23389,29333,5.1,25935.96,17592.23,0.3542
3125,31,Calais,107497.7,9477,15206,21826,12349,4491,8097,10706,12948,17555,20247,23664,29414,6.5,13543.37,16975.79,0.3614
3126,31,Boulogne-sur-mer,108048.7,9651,15395,22129,12478,4870,8271,10908,13162,17743,20493,24123,30807,6.3,17902.19,17778.79,0.3748
3127,31,Berck - Montreuil,71039.7,10683,16150,22826,12143,6180,9402,11856,13994,18453,21211,24946,32199,5.2,18660.33,18966.95,0.3647
4101,41,Longwy,71620.6,11281,17027,24389,13108,5748,9803,12464,14685,19598,22629,26505,33151,5.8,13736.04,18949.68,0.3421
4102,41,Lunéville,22228.0,10784,16530,22587,11803,5348,9257,12093,14402,18650,21078,24426,30409,5.7,23694.84,18330.59,0.3516
4103,41,Nancy,329927.1,12702,18956,26311,13609,7057,11151,14070,16545,21493,24471,28584,36099,5.1,19153.64,21443.33,0.3432
4104,41,Bar-le-Duc,42340.9,12086,17607,23849,11763,7215,10747,13303,15525,19890,22353,25747,31838,4.4,14641.75,19519.75,0.3205
4105,41,Commercy,30030.8,10943,16179,22176,11233,6627,9792,12077,14152,18292,20738,23868,29514,4.5,12958.58,17849.44,0.3213
4106,41,Verdun,41388.2,10822,16218,22580,11758,5885,9459,12030,14152,18498,21046,24476,30698,5.2,14650.65,18152.94,0.3425
4107,41,Metz,332514.2,12084,18133,25524,13440,6786,10614,13329,15728,20701,23693,27765,35059,5.2,18653.29,20701.26,0.3472
4108,41,Forbach,148267.8,10632,16024,22615,11983,5830,9260,11841,14031,18351,21035,24574,30789,5.3,14971.09,18125.39,0.3432
4109,41,Sarrebourg,48109.6,12292,17514,23256,10964,7698,11026,13443,15472,19566,21888,25034,30479,4.0,16800.01,19215.77,0.3060
4110,41,Sarreguemines,75147.5,12452,17801,24490,12038,7674,11123,13640,15678,20107,22830,26501,33186,4.3,17747.58,20198.03,0.3244
4111,41,Thionville,142268.3,11925,17901,25680,13755,6695,10495,13161,15481,20570,23710,28086,35769,5.3,18003.74,20523.84,0.3490
4112,41,Épinal,109899.3,11377,16907,23250,11873,6280,9985,12603,14874,19096,21654,25140,31590,5.0,16359.03,18905.81,0.3376
4113,41,Remiremont,58700.8,12175,16957,22659,10484,7674,10944,13223,15136,18880,21202,24480,30373,4.0,35021.20,19124.98,0.3166
4114,41,Saint-Dié-des-Vosges,60136.0,10999,16212,22086,11087,6049,9653,12193,14282,18255,20661,23835,29656,4.9,13433.83,17850.58,0.3279
4115,41,Neufchâteau,36030.8,11766,16829,23222,11456,7098,10595,12846,14877,19051,21737,25123,31203,4.4,13933.11,18901.67,0.3199
4201,42,Haguenau,130601.5,14237,19949,26497,12260,9403,12913,15456,17741,22243,24851,28478,34665,3.7,15665.21,21954.76,0.2948
4202,42,Molsheim - Obernai,87491.1,14661,20416,27505,12844,9921,13382,15901,18170,22829,25695,29647,36946,3.7,20510.42,23139.41,0.3046
