Revenus fiscaux localisés des ménages - Année 2006,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux localisés des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC06,RFUCQ106,RFUCQ206,RFUCQ306,RFUCIQ06,RFUCD106,RFUCD206,RFUCD306,RFUCD406,RFUCD606,RFUCD706,RFUCD806,RFUCD906,RFUCRD06,RFUCET06,RFUCMO06,RFUCGI06
3110,31,Roubaix-Tourcoing,149403,417775,260709.0,8700,14724,21303,12603,3847,7290,10024,12477,16999,19697,23350,30099,7.8,17173.03,17110.28,0.3944
3111,31,Lille,302755,764251,481467.0,10459,16862,24504,14045,5328,8885,11918,14436,19460,22572,26867,34736,6.5,19079.71,19733.69,0.3797
3112,31,Dunkerque,95298,263018,163840.2,9620,14888,21187,11567,5610,8394,10748,12830,17083,19640,23006,28887,5.1,13273.17,16912.61,0.3468
3113,31,Flandre-Lys,41187,116684,75653.7,11181,16029,21956,10775,7196,10011,12185,14115,18129,20498,23757,29742,4.1,14278.97,18162.96,0.3179
3114,31,Douaisis,89335,246987,155570.1,9185,14416,20805,11620,4927,7961,10322,12453,16615,19227,22662,28566,5.8,14076.26,16473.61,0.3588
3115,31,Valenciennois,129722,348994,218655.0,8142,13396,19653,11511,3898,6992,9289,11410,15550,18129,21442,27220,7.0,14292.16,15459.84,0.3786
3116,31,Cambresis,67530,176360,114138.7,9563,14575,20507,10944,5483,8372,10663,12652,16591,18998,22323,28205,5.1,16220.87,16787.03,0.3556
3117,31,Sambre-Avesnois,88672,238466,148803.8,7906,13225,19568,11662,3295,6707,9009,11167,15420,18020,21437,27191,8.3,14122.68,15160.96,0.3858
3121,31,Artois-Ternois,86840,231265,150396.3,10528,15894,22342,11814,6276,9271,11663,13773,18137,20782,24322,30783,4.9,16811.07,18354.71,0.3491
3122,31,Lens-Hénin,135963,371443,231158.0,7649,12675,18176,10527,3565,6574,8682,10707,14567,16845,19780,24701,6.9,11794.53,14083.36,0.3653
3123,31,Béthune-Bruay,107282,287064,184325.9,9370,14306,20265,10895,5365,8199,10449,12419,16340,18787,21953,27560,5.1,13652.59,16236.26,0.3471
3124,31,Saint-Omer,40509,112845,72770.7,9324,14181,19900,10576,5614,8218,10333,12248,16202,18489,21588,27190,4.8,15601.10,16320.34,0.3529
3125,31,Calaisis,57909,158989,102409.8,8820,13976,19905,11085,4633,7629,9938,11960,16075,18475,21662,27198,5.9,14118.38,15818.63,0.3623
3126,31,Boulonnais,60959,163159,104204.6,8857,14006,20220,11363,4739,7690,9958,12005,16135,18705,22099,28272,6.0,16603.44,16355.38,0.3747
3127,31,Berck-Montreuil,38329,99288,67706.1,9853,14855,21026,11173,5920,8695,10934,12848,16950,19491,23053,29741,5.0,17260.89,17539.52,0.3623
4111,41,Longwy,33473,82700,54648.1,7682,13802,20443,12761,0,5712,9181,11728,16059,18824,22373,28304,,13238.95,15155.56,0.4104
