Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
2106,Chaumont - Langres,49251,108163.0,75493.8,54.4,13474.0,19002.0,25488.0,12014.0,8166.0,12058.0,14662.0,16878.0,21238.0,23926.0,27456.0,33816.0,4.1,5.5,0.3,53.3,2.7,6.6,32.7,4.7
2107,Vitry-le-François - Saint-Dizier,49132,112429.5,77099.7,50.5,11726.0,17674.0,24026.0,12300.0,6436.0,10218.0,13096.0,15526.0,19918.0,22488.0,25956.0,32308.0,5.0,6.8,0.3,52.7,3.8,6.5,32.3,4.7
2201,Château-Thierry,27246,66555.5,44422.0,58.0,13250.0,19354.0,26486.0,13236.0,7802.0,11732.0,14682.0,17068.0,21898.0,24756.0,28780.0,36202.0,4.6,6.3,0.3,56.5,3.3,8.7,25.9,5.6
2202,Tergnier,23530,55198.5,37357.4,48.1,10528.0,16994.0,23608.0,13080.0,4710.0,8932.0,12010.0,14594.0,19290.0,22016.0,25416.0,31474.0,6.7,8.4,0.3,56.1,3.8,4.8,32.1,3.2
2203,La Thiérache,24368,57304.0,38757.4,43.9,9474.0,15764.0,22242.0,12768.0,3762.0,7954.0,10934.0,13502.0,18150.0,20718.0,23990.0,29766.0,7.9,9.6,0.4,51.4,3.8,7.3,32.2,5.3
2204,Laon,40964,98036.5,65856.8,50.6,11544.0,17962.0,25104.0,13560.0,5966.0,9908.0,12968.0,15606.0,20514.0,23320.0,27184.0,34454.0,5.8,7.8,0.4,56.3,3.5,8.0,27.5,4.7
2205,Saint-Quentin,57614,135609.0,91706.9,49.6,10492.0,17366.0,24456.0,13964.0,4610.0,8776.0,12018.0,14858.0,19830.0,22726.0,26682.0,33798.0,7.3,9.9,0.4,54.3,3.7,7.6,30.0,4.4
2206,Soissons,38760,92665.0,62424.7,52.4,11998.0,18278.0,25238.0,13240.0,6478.0,10376.0,13462.0,15928.0,20748.0,23558.0,27312.0,34442.0,5.3,7.2,0.3,55.9,3.7,6.5,29.2,4.7
2207,Beauvais,97898,249150.0,163804.0,59.5,13466.0,20038.0,27172.0,13706.0,7570.0,11818.0,14958.0,17570.0,22566.0,25452.0,29280.0,35963.0,4.8,6.2,0.3,62.8,3.4,5.5,24.4,3.9
2208,Compiègne,80424,199291.0,132376.9,60.6,13828.0,20586.0,28264.0,14436.0,8002.0,12140.0,15348.0,18014.0,23236.0,26366.0,30630.0,38466.0,4.8,6.4,0.3,62.4,3.4,4.8,24.8,4.6
2209,Abbeville,29265,69033.0,46787.1,49.9,11426.0,17740.0,24694.0,13268.0,5832.0,9788.0,12834.0,15392.0,20136.0,22972.0,26784.0,34250.0,5.9,7.9,0.4,52.0,3.2,8.2,31.1,5.5
