Revenus fiscaux localisés des ménages - Année 2010,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC10,RFUCQ110,RFUCQ210,RFUCQ310,RFUCIQ10,RFUCD110,RFUCD210,RFUCD310,RFUCD410,RFUCD610,RFUCD710,RFUCD810,RFUCD910,RFUCRD10,RFUCET10,RFUCMO10,RFUCGI10
4102,41,Lunéville,22248.5,11044,16862,23136,12092,5362,9500,12335,14765,19105,21729,24844,30997,5.8,15307.49,18549.98,0.3457
4103,41,Nancy,330998.9,12898,19329,26829,13931,7042,11280,14311,16875,21916,24942,29151,36792,5.2,18629.50,21852.79,0.3452
4104,41,Bar-le-Duc,42250.0,12376,18015,24446,12070,7369,10995,13623,15902,20269,22873,26298,32472,4.4,16035.34,19994.82,0.3220
4105,41,Commercy,29887.9,11282,16538,22702,11421,6937,10068,12441,14490,18765,21276,24399,30198,4.4,12550.36,18300.15,0.3178
4106,41,Verdun,41576.7,11155,16759,23305,12150,6112,9777,12386,14627,19077,21695,25226,31229,5.1,15641.80,18756.10,0.3408
4107,41,Metz,333930.0,12348,18575,26107,13759,6914,10843,13670,16124,21169,24240,28398,35824,5.2,20558.58,21225.06,0.3486
4108,41,Forbach,148616.0,10773,16423,23270,12497,5905,9428,12048,14325,18794,21579,25272,31693,5.4,15485.79,18597.67,0.3462
4109,41,Sarrebourg,48047.6,12568,17889,23901,11333,7993,11335,13696,15832,19982,22456,25637,31119,3.9,18367.16,19726.38,0.3070
4110,41,Sarreguemines,75416.7,12698,18256,25180,12482,7819,11385,13901,16045,20659,23464,27266,33893,4.3,16164.41,20634.70,0.3227
4111,41,Thionville,143303.8,12265,18407,26427,14163,6906,10779,13527,15927,21189,24451,28852,36752,5.3,18576.90,21151.34,0.3493
4112,41,Épinal,110103.0,11582,17319,23751,12169,6369,10100,12851,15161,19546,22169,25679,32197,5.1,17034.38,19346.81,0.3400
4113,41,Remiremont,58605.2,12459,17318,23217,10758,7777,11240,13553,15505,19397,21800,25060,31217,4.0,32548.75,19620.93,0.3171
4114,41,Saint-Dié-des-Vosges,60038.0,11247,16676,22537,11290,6167,9861,12471,14627,18706,21080,24351,30101,4.9,20393.42,18357.38,0.3322
4115,41,Neufchâteau,35929.8,11952,17235,23736,11784,7251,10726,13129,15250,19471,22085,25649,31581,4.4,14518.37,19255.14,0.3175
4201,42,Haguenau,131728.8,14550,20363,27057,12507,9598,13169,15790,18128,22710,25434,29093,35436,3.7,17904.58,22460.71,0.2962
4202,42,Molsheim - Obernai,88228.8,15006,20888,28251,13245,10152,13699,16245,18559,23425,26400,30496,37799,3.7,21943.91,23809.56,0.3077
4203,42,Saverne,51737.5,13567,19187,25766,12199,9008,12369,14796,16963,21497,24101,27673,33948,3.8,17783.49,21274.13,0.2998
4204,42,Sélestat,55655.3,13819,19660,26393,12574,8867,12487,15098,17414,22035,24775,28367,34926,3.9,20574.10,21925.14,0.3102
4205,42,Strasbourg,364904.4,12056,19627,28329,16273,5787,10176,13789,16814,22626,26133,31019,39943,6.9,23328.75,22887.49,0.3837
4206,42,Wissembourg,27303.3,14690,20727,28403,13713,9899,13307,15944,18318,23379,26350,30647,37436,3.8,15116.65,23063.00,0.2976
4207,42,Colmar,129117.7,14001,20199,27681,13680,8387,12518,15369,17814,22734,25784,29994,37850,4.5,19688.73,23031.04,0.3310
4208,42,Mulhouse,282319.0,12444,19207,27086,14642,6700,10754,13973,16625,21927,25107,29479,37241,5.6,20480.84,21768.54,0.3507
4209,42,Saint-Louis,78684.4,16473,25079,36537,20064,9951,14633,18216,21533,28999,33731,40103,51483,5.2,21528.43,29072.06,0.3440
4301,43,Besançon,196951.7,12787,18762,25849,13062,7469,11328,14096,16471,21188,24083,28040,35112,4.7,18496.02,21142.32,0.3335
4302,43,Belfort - Montbéliard - Héricourt,250482.9,11866,18016,24875,13009,6696,10351,13220,15660,20385,23190,26905,33325,5.0,19048.39,19946.23,0.3340
4303,43,Morteau,30916.8,16065,23418,33356,17291,11087,14561,17468,20350,26917,31055,36024,44244,4.0,17168.43,26253.52,0.3005
4304,43,Pontarlier,40723.5,14508,21088,29748,15240,9647,13094,15897,18385,24103,27639,32237,39887,4.1,69873.52,24026.54,0.3153
4305,43,Dole,47551.3,12650,18115,24348,11698,7587,11191,13835,16061,20292,22842,26160,32280,4.3,14891.68,19920.41,0.3127
4306,43,Lons-le-Saunier,81612.7,12553,17805,24204,11651,7950,11303,13634,15736,20042,22641,26147,32584,4.1,19031.75,20122.93,0.3188
4307,43,Saint-Claude,36979.8,13313,19268,27127,13814,8059,11840,14652,17061,21912,25165,29513,36890,4.6,23022.37,22054.87,0.3278
4308,43,Gray,19003.5,11579,16705,22970,11391,6718,10198,12688,14735,18856,21516,24791,30811,4.6,14710.72,18754.64,0.3294
4309,43,Vesoul,80918.2,11523,16913,23097,11574,6942,10193,12714,14839,19114,21574,24933,30840,4.4,13988.97,18776.76,0.3226
5201,52,Ancenis,30680.5,12424,17088,22391,9967,8530,11417,13522,15327,18945,21120,23995,29223,3.4,18529.99,18777.87,0.2855
5202,52,Châteaubriant,24402.2,11115,15754,20849,9734,6483,10006,12129,14013,17490,19548,22436,27894,4.3,19893.92,17452.37,0.3206
5203,52,Nantes,662640.2,13846,19521,26600,12754,8719,12462,15103,17321,21902,24787,28831,36234,4.2,22448.27,22258.60,0.3224
