Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
2505,25,Saint-Lô,61408.7,11907,16799,22600,10693,7461,10687,12997,14911,18766,21174,24341,30012,4.0,14623.18,18731.86,0.3125
2506,25,Avranches-Granville,83934.5,11955,16750,22746,10791,7857,10818,12958,14869,18761,21174,24675,31571,4.0,19480.73,19423.02,0.3275
2507,25,Coutances,43230.3,11226,15959,21816,10590,7060,10134,12261,14121,17973,20297,23642,30079,4.3,15772.11,18346.12,0.3307
2508,25,Flers,75171.7,11459,16126,21517,10058,7184,10303,12521,14410,17951,20170,23153,28750,4.0,14619.39,18015.44,0.3149
2509,25,Alençon-Argentan,69365.7,11128,16436,22660,11532,6023,9725,12368,14452,18596,21098,24517,30523,5.1,14982.64,18386.72,0.3390
2510,25,Mortagne-au-Perche-L'Aigle,57282.1,11399,16431,22198,10799,6861,10180,12540,14520,18366,20697,24100,30173,4.4,17586.99,18468.01,0.3296
2610,26,Mâcon,77470.7,12467,17967,24825,12358,7667,11074,13632,15831,20283,23057,27012,34288,4.5,16187.66,20585.76,0.3304
2612,26,Dijon,235644.3,13743,19660,26983,13240,8491,12292,15043,17362,22145,25150,29208,36935,4.3,18913.33,22482.38,0.3263
2613,26,Auxerre,90907.8,12250,17881,24502,12252,7293,10875,13535,15690,20142,22837,26718,33787,4.6,19176.64,20541.55,0.3411
2615,26,Nevers,94602.3,11509,17066,23363,11854,6237,10034,12754,15009,19241,21803,25305,31219,5.0,17398.99,18923.90,0.3362
2641,26,Chalon-sur-Saône,105900.9,12461,17783,24323,11862,7703,11149,13592,15706,19977,22676,26344,33027,4.3,17299.88,20309.04,0.3285
2643,26,Châtillon-sur-Seine,14743.4,11435,16255,22259,10824,7291,10309,12445,14325,18362,20812,24223,30572,4.2,13773.40,18476.04,0.3240
2644,26,Sens,71190.5,12399,17929,24359,11960,7594,11039,13628,15862,20113,22731,26326,32775,4.3,17140.24,20139.30,0.3237
2651,26,Montbard,27438.4,11845,16743,22713,10868,7511,10661,12880,14805,18770,21231,24492,30409,4.0,16684.52,18730.33,0.3154
2652,26,Avallon,29858.1,11109,16311,22359,11250,6529,9833,12287,14362,18457,20815,24332,31253,4.8,17601.13,18664.16,0.3417
2654,26,Cosne-sur-Loire,33560.5,11378,16471,22669,11291,6682,10031,12542,14544,18609,21154,24521,30666,4.6,16017.69,18677.67,0.3338
2656,26,Autun,27406.0,11280,16236,22384,11104,6888,10109,12311,14266,18361,20840,24173,30468,4.4,14196.59,18371.05,0.3260
2660,26,Joigny,38786.3,11503,16930,23058,11555,6749,10188,12740,14867,19098,21565,24895,31023,4.6,14717.22,18774.80,0.3250
