Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
2101,Charleville-Mézières,95506,213981,147917.0,13810,18880,24740,10930,10230,12760,14830,16880,20940,23350,26430,31910,3.1,3.732,0.258,65.5,57.2,3.3,5.0,32.0,8.4,7.9,2.6,3.2,2.0,-13.8
2102,Troyes,134773,299561,207062.2,14720,19840,25830,11110,10860,13600,15840,17890,21900,24330,27760,34180,3.1,3.885,0.267,67.8,57.0,3.3,7.4,31.0,10.1,6.7,2.5,2.4,1.8,-15.6
2103,Châlons-en-Champagne,44571,100467,68999.0,15400,20720,26610,11210,11360,14180,16600,18720,22760,25100,28430,34600,3.0,3.667,0.253,70.3,61.5,2.7,6.1,29.9,9.6,5.9,2.5,2.0,1.5,-15.7
2104,Épernay,47709,106487,73778.4,16350,21750,28630,12280,12160,15060,17520,19650,24020,26830,31020,39610,3.3,4.164,0.284,72.0,54.4,2.7,14.9,27.9,14.5,4.1,1.8,1.4,1.0,-18.5
2105,Reims,149461,336488,231086.8,15070,20890,28030,12960,10940,13840,16270,18600,23320,26210,30350,38160,3.5,4.351,0.290,74.3,63.6,2.9,7.9,27.0,9.8,6.3,2.3,2.2,1.7,-17.4
2106,Chaumont - Langres,48905,104795,73848.3,15550,20260,25580,10030,11750,14400,16560,18460,22140,24300,27170,32450,2.8,3.369,0.238,65.2,56.5,2.6,6.0,35.1,8.4,5.3,2.1,2.0,1.2,-14.0
2107,Vitry-le-François - Saint-Dizier,48465,107760,74755.5,14330,19030,24380,10050,10860,13310,15300,17170,20930,23070,25920,31210,2.9,3.446,0.243,63.3,55.3,3.3,4.8,34.5,8.3,7.2,2.6,2.9,1.7,-13.3
2201,Château-Thierry,27718,66750,44822.8,15300,20280,26100,10800,11230,14100,16400,18380,22360,24720,27910,34020,3.0,3.719,0.257,72.1,61.5,3.2,7.4,28.1,9.8,5.8,2.7,1.8,1.3,-15.8
2202,Tergnier,23431,53952,36830.0,13570,18450,24030,10460,10130,12550,14600,16520,20440,22610,25680,30690,3.0,3.550,0.248,64.9,57.3,3.6,4.0,33.0,6.4,8.8,3.1,3.5,2.2,-13.1
2203,La Thiérache,23913,54682,37415.1,12940,17560,22970,10030,9740,11980,13860,15670,19490,21620,24440,29020,3.0,3.597,0.251,61.6,52.7,3.2,5.6,32.7,8.7,9.4,3.3,3.8,2.3,-12.4
2204,Laon,40979,96235,65157.0,14210,19290,25080,10870,10570,13110,15310,17350,21300,23670,26750,32430,3.1,3.699,0.257,68.6,60.1,3.3,5.2,29.8,8.4,7.4,2.9,2.7,1.8,-14.2
2205,Saint-Quentin,57264,132068,90111.9,13610,18740,24600,10990,10090,12580,14630,16710,20740,23100,26310,32230,3.2,3.928,0.270,66.4,57.5,3.3,5.5,31.6,7.8,8.5,2.9,3.4,2.1,-14.3
2206,Soissons,39227,91358,62170.3,14520,19520,25200,10690,10890,13400,15560,17540,21520,23840,26960,32680,3.0,3.676,0.256,68.0,59.7,3.5,4.9,31.3,8.1,7.1,2.8,2.6,1.7,-14.5
2207,Beauvais,100209,249180,165277.6,15680,20910,26760,11080,11590,14460,16800,18920,23000,25370,28490,33900,2.9,3.503,0.243,75.0,67.4,3.3,4.3,27.0,6.8,6.2,2.8,2.1,1.3,-15.0
2208,Compiègne,81766,197569,132571.2,16010,21420,27960,11950,11820,14750,17150,19310,23670,26340,29940,36470,3.1,3.747,0.259,75.8,68.3,3.2,4.3,27.4,7.8,5.4,2.4,1.8,1.2,-16.4
2209,Abbeville,29468,67376,46300.8,14310,19150,24980,10670,10670,13230,15360,17280,21130,23590,26750,32720,3.1,3.770,0.263,64.5,54.2,3.0,7.2,33.3,9.9,7.0,2.4,3.0,1.6,-14.7
2210,Amiens,157596,364003,248247.2,14710,20090,26360,11650,10860,13530,15840,17990,22300,24860,28230,34530,3.2,3.903,0.268,72.1,63.2,3.1,5.8,28.4,8.4,6.9,2.5,2.8,1.7,-15.8
2211,Péronne,23135,54482,36962.9,14130,18830,24290,10160,10800,13140,15110,17050,20730,22920,26010,31400,2.9,3.547,0.251,67.0,57.5,3.6,5.8,31.2,8.6,7.3,2.8,2.9,1.6,-14.1
2301,Bernay,25134,56580,39049.7,15330,20140,25900,10570,11430,14160,16400,18320,22130,24450,27640,33070,2.9,3.472,0.243,64.8,56.5,3.1,5.2,34.8,8.6,6.1,2.3,2.4,1.4,-14.3
2302,Évreux,90112,214330,144418.9,15830,20990,26980,11150,11640,14630,16930,18970,23060,25520,28780,34570,3.0,3.577,0.248,72.0,64.5,3.3,4.2,29.5,7.7,6.0,2.6,2.1,1.4,-15.2
2303,Pont-Audemer,22345,52378,35511.5,15570,20380,26050,10480,11810,14460,16580,18500,22370,24640,27860,33450,2.8,3.437,0.243,70.5,62.5,3.3,4.8,30.1,7.8,5.9,2.5,2.1,1.3,-14.3
2304,Vernon - Gisors,49691,121476,81186.9,16070,21200,27530,11460,11880,14840,17160,19230,23340,25930,29400,35500,3.0,3.633,0.252,73.8,66.2,3.5,4.1,28.8,7.3,5.6,2.6,1.8,1.2,-15.5
2305,Dieppe - Caux maritime,53282,120640,83129.8,15250,20080,25890,10640,11540,14160,16260,18190,22060,24400,27690,33770,2.9,3.520,0.248,66.6,58.0,3.0,5.6,33.4,7.8,6.4,2.3,2.6,1.5,-14.2
2306,Le Havre,169434,389850,265847.5,15240,20590,26940,11700,11320,14060,16380,18530,22830,25410,28880,34950,3.1,3.714,0.258,71.2,63.2,3.4,4.5,30.0,7.0,7.0,2.6,2.7,1.8,-15.2
2307,Rouen,346721,794835,542569.3,15560,20990,27360,11800,11350,14310,16750,18910,23210,25780,29310,35660,3.1,3.816,0.261,73.1,65.2,3.2,4.7,28.9,7.2,6.4,2.4,2.3,1.6,-15.6
