Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile,4e décile,6e décile,7e décile,8e décile,9e décile,Rapport inter-décile 9e décile/1er decile,S80/20,Indice de Gini,"Part des salaires, traitements ou chômage",Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des revenus du patrimoine et autres revenus,Part de l'ensemble des prestations sociales ,dont part des prestations familiales,dont part des minima sociaux,dont part des prestations logement,Part des impôts
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSAC13,PBEN13,PPEN13,PPAT13,PPSOC13,PPFAM13,PPMINI13,PPLOGT13,PIMPOT13
2501,Bayeux,22534,51952.5,35525.0,14810.7,19299.0,24884.7,10074.0,11138.3,13776.8,15717.5,17493.3,21165.6,23458.2,26647.0,32830.0,2.9,3.6,0.3,57.4,7.6,33.9,10.0,5.5,2.5,1.5,1.5,-14.4
2502,Caen,196407,455336.0,309861.6,15403.8,20262.8,26371.3,10967.6,11433.0,14277.0,16440.0,18394.0,22274.0,24780.4,28327.3,34766.7,3.0,3.7,0.3,66.2,5.8,29.1,9.6,5.3,2.4,1.4,1.5,-16.0
2503,Honfleur,24520,52369.0,36949.2,14764.0,19839.8,27131.5,12367.5,10978.9,13661.7,15798.0,17797.3,22026.0,25019.4,29728.0,38631.3,3.5,4.5,0.3,55.2,7.9,35.9,15.1,4.1,1.7,1.1,1.2,-18.2
2504,Lisieux,29639,68119.5,46569.2,13930.7,18421.0,23868.8,9938.1,10345.8,12862.4,14878.0,16649.6,20245.0,22407.3,25605.3,31474.0,3.0,3.7,0.3,59.8,6.2,32.4,9.6,6.4,2.7,1.8,1.8,-14.4
2505,Vire,17099,38834.0,26730.5,14204.4,18377.2,22996.1,8791.7,10655.4,13212.0,15157.0,16823.5,19964.0,21848.7,24508.0,29441.7,2.8,3.4,0.2,58.6,7.2,31.7,10.1,5.7,2.5,1.6,1.6,-13.3
2506,Avranches,39387,88285.5,61088.2,14808.0,18932.0,23649.3,8841.3,11284.4,13849.6,15667.4,17277.0,20542.0,22462.7,25126.7,30405.3,2.7,3.3,0.2,56.2,8.6,32.7,10.8,5.2,2.4,1.5,1.3,-13.5
2507,Cherbourg-Octeville,88572,202320.0,138931.0,14855.0,19470.8,25247.5,10392.5,11302.5,13811.4,15851.0,17691.8,21406.3,23751.0,27008.8,32556.7,2.9,3.4,0.2,63.9,5.7,30.7,8.5,5.8,2.5,1.8,1.6,-14.6
2508,Coutances,26088,58570.5,40478.2,14434.0,18709.2,24027.6,9593.6,10980.0,13489.6,15322.0,17047.9,20459.0,22615.3,25776.7,31996.7,2.9,3.6,0.3,51.8,9.8,36.1,10.9,5.5,2.5,1.6,1.4,-14.1
2509,Granville,24133,51423.5,36317.2,15151.0,19704.7,25934.8,10783.8,11594.0,14082.0,16092.0,17878.0,21627.0,24260.8,28037.3,35320.5,3.0,3.7,0.3,49.9,7.7,40.9,12.6,4.5,1.9,1.3,1.3,-15.6
2510,Saint-Lô,36822,84381.5,57705.5,14971.0,19356.0,24398.6,9427.6,11423.8,13975.0,15914.0,17640.7,21062.0,23119.3,26016.7,31351.0,2.7,3.3,0.2,62.7,6.6,30.2,9.0,5.6,2.6,1.5,1.4,-14.1
