Revenus fiscaux des ménages - Année 2002,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC02,RFUCQ102,RFUCQ202,RFUCQ302,RFUCIQ02,RFUCD102,RFUCD202,RFUCD302,RFUCD402,RFUCD602,RFUCD702,RFUCD802,RFUCD902,RFUCRD02,RFUCET02,RFUCMO02,RFUCGI02
2506,25,Avranches-Granville,48251,114812,78003.3,9547,13596,18879,9332,6430,8689,10363,11943,15372,17505,20551,26254,4.1,12997.46,15843.24,0.3274
2507,25,Coutances,24375,59516,39797.2,8999,13002,18187,9188,5665,8083,9831,11432,14717,16889,19801,25257,4.5,11888.96,15039.98,0.3321
2508,25,Flers,44919,110532,72286.0,9349,13339,17984,8635,5985,8372,10241,11787,14937,16860,19374,24096,4.0,10941.71,14899.98,0.3114
2509,25,Alençon-Argentan,42870,105607,66831.9,9219,13805,19101,9882,5280,8106,10202,11999,15655,17818,20761,25979,4.9,12767.47,15492.45,0.3378
2510,25,Mortagne-au-Perche-L'Aigle,34106,83736,54822.4,9248,13468,18481,9233,5683,8209,10145,11832,15217,17236,20000,25083,4.4,11423.72,15090.90,0.3235
2610,26,Mâcon,45701,108503,72619.3,10063,14910,20820,10757,6214,8925,11108,13037,16957,19307,22685,28635,4.6,13077.21,16975.97,0.3304
2612,26,Dijon,146174,350448,223550.6,11401,16532,22705,11304,7090,10172,12482,14506,18615,21132,24613,30933,4.4,13318.17,18619.32,0.3190
2613,26,Auxerre,54633,132758,87189.1,10078,14930,20698,10620,6189,8952,11148,13104,16936,19279,22470,28272,4.6,14590.66,17051.33,0.3342
2615,26,Nevers,61880,142539,93245.7,9644,14350,19885,10241,5639,8502,10637,12521,16310,18532,21545,26683,4.7,11960.87,15960.90,0.3270
2641,26,Chalon-sur-Saône,61458,149825,99276.7,10132,14688,20289,10157,6375,9085,11087,12908,16638,18940,22050,27582,4.3,12575.95,16653.64,0.3221
2643,26,Châtillon-sur-Seine,9382,23059,14628.8,9130,13142,18094,8964,5948,8249,10001,11528,14810,16791,19735,24919,4.2,11322.31,14973.52,0.3205
2644,26,Sens,39295,98620,65075.6,10279,15037,20539,10260,6540,9158,11285,13187,16975,19132,22174,27651,4.2,13628.44,16882.11,0.3194
2651,26,Montbard,16930,41117,26600.5,9494,13535,18682,9188,5946,8459,10345,11957,15365,17393,20187,25067,4.2,12672.13,15225.31,0.3159
2652,26,Avallon,18609,45788,29309.2,9130,13558,18812,9682,5552,8077,10029,11844,15315,17464,20397,25764,4.6,16277.88,15447.55,0.3388
2654,26,Cosne-sur-Loire,21628,48154,32551.6,9329,13661,18812,9483,5622,8282,10290,11970,15419,17560,20446,25863,4.6,11502.96,15399.07,0.3273
2656,26,Autun,17574,41612,26978.5,9134,13372,18546,9412,5789,8177,10086,11767,15128,17255,20156,25391,4.4,11549.32,15165.22,0.3244
2660,26,Joigny,22803,56055,36740.3,9340,13902,19299,9959,5573,8315,10375,12199,15782,17977,20838,25978,4.7,11408.26,15529.82,0.3269
2662,26,Decize,15179,34505,23125.8,9001,13163,18009,9008,5656,8073,9916,11523,14855,16814,19451,24049,4.3,10213.38,14590.78,0.3141
2664,26,Le Creusot,22056,53097,33765.7,9413,13609,18584,9171,5768,8348,10316,11959,15357,17358,20049,24918,4.3,10040.03,15044.75,0.3109
2666,26,Beaune,36727,92131,60201.2,10233,14916,20579,10346,6719,9209,11213,13076,16814,19150,22328,28889,4.3,15056.39,17516.45,0.3389
2672,26,Montceau-les-Mines,24192,56356,37211.1,9376,13319,18012,8636,5974,8353,10279,11875,14944,16846,19406,23921,4.0,10207.93,14729.62,0.3040
2680,26,Charollais,36060,86980,57421.4,9486,13199,17991,8505,6296,8608,10249,11754,14866,16840,19415,24104,3.8,10055.92,14876.34,0.3037
2695,26,Louhans,20675,48520,33157.0,9109,13195,18013,8904,6400,8312,9907,11551,14891,16845,19408,24089,3.8,9902.81,14731.47,0.3049
3110,31,Roubaix-Tourcoing,149403,417775,256289.5,7854,13258,19124,11270,3763,6652,9039,11241,15309,17661,20909,26895,7.1,15331.72,15228.20,0.3825
3111,31,Lille,302755,764251,475806.5,9424,15220,22068,12644,4824,8010,10720,13014,17580,20366,24151,31007,6.4,15173.44,17511.62,0.3688
