Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC11,RFUCQ111,RFUCQ211,RFUCQ311,RFUCIQ11,RFUCD111,RFUCD211,RFUCD311,RFUCD411,RFUCD611,RFUCD711,RFUCD811,RFUCD911,RFUCRD11,RFUCET11,RFUCMO11,RFUCGI11
3110,31,Roubaix - Tourcoing,275885.2,9572,16610,24319,14747,3836,7886,11099,13982,19288,22417,26628,34367,9.0,22357.95,19509.93,0.4082
3111,31,Lille,510065.9,11980,19394,28244,16264,5755,10144,13652,16584,22424,26024,30988,39894,6.9,25927.95,22799.79,0.3860
3112,31,Dunkerque,169294.4,11033,17117,24106,13073,6084,9573,12316,14726,19597,22431,26145,32733,5.4,16610.62,19278.34,0.3483
3113,31,Flandre - Lys,81519.2,12985,18612,25257,12272,8246,11741,14195,16428,20926,23639,27231,33724,4.1,17107.67,20857.49,0.3142
3114,31,Douai,163418.6,10210,16416,23682,13472,4934,8732,11565,14033,18983,21920,25775,32177,6.5,17316.94,18558.61,0.3646
3115,31,Valenciennes,229481.3,9092,15292,22536,13444,3807,7676,10383,12911,17859,20793,24536,30941,8.1,20251.46,17543.98,0.3867
3116,31,Cambrai,120159.6,10455,16445,23258,12803,5339,9021,11829,14173,18809,21566,25211,31756,5.9,18266.94,18704.91,0.3639
3117,31,Maubeuge,153591.3,8929,15303,22540,13611,3362,7470,10307,12871,17844,20775,24560,30969,9.2,15670.50,17282.22,0.3857
3121,31,Arras,160111.4,11995,18266,25603,13608,6783,10487,13347,15825,20823,23837,27811,35099,5.2,18855.79,20901.11,0.3522
3122,31,Lens - Hénin,240655.6,8621,14513,20826,12205,3735,7353,9872,12276,16769,19311,22619,28025,7.5,13412.89,15977.15,0.3657
3123,31,Béthune - Bruay,194450.1,10516,16385,23158,12642,5446,9099,11788,14107,18791,21534,25155,31257,5.7,19274.72,18423.33,0.3546
3124,31,Saint-Omer,77814.8,10549,16355,22707,12158,5870,9266,11776,14113,18612,21219,24615,30629,5.2,20325.08,18472.81,0.3541
3125,31,Calais,108724.4,9821,15934,22759,12938,4514,8416,11111,13539,18393,21100,24675,30742,6.8,14250.62,17717.48,0.3629
3126,31,Boulogne-sur-mer,108201.4,10002,16110,23093,13091,5051,8601,11353,13782,18562,21368,25168,32105,6.4,20638.00,18642.27,0.3778
3127,31,Berck - Montreuil,72057.7,11359,17055,23997,12638,6502,9956,12560,14812,19492,22260,26136,33527,5.2,19783.73,20007.55,0.3622
4101,41,Longwy,72585.4,11884,17992,25734,13850,6082,10388,13162,15527,20790,23821,28011,34808,5.7,14834.77,19998.71,0.3403
4102,41,Lunéville,22440.2,11205,17219,23676,12471,5726,9755,12512,15015,19454,22137,25478,31703,5.5,16037.07,18937.68,0.3452
4103,41,Nancy,333863.0,13136,19743,27427,14291,7076,11478,14602,17232,22392,25483,29805,37521,5.3,24391.30,22378.79,0.3488
4104,41,Bar-le-Duc,42161.7,12773,18553,25058,12285,7558,11317,14012,16348,20873,23423,27012,33303,4.4,15224.55,20498.97,0.3198
4105,41,Commercy,29968.8,11582,17103,23394,11812,7061,10274,12689,14999,19314,21889,25123,31124,4.4,13665.13,18844.25,0.3201
4106,41,Verdun,41861.7,11558,17296,23996,12438,6225,10131,12805,15083,19691,22395,25995,32520,5.2,15949.20,19335.76,0.3427
