Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,PMIMP17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PAUT17
2601,Beaune,21711,48456,33613.7,56.4,16050,22550,30670,14620,10190,14530,17450,19960,25190,28530,33500,44210,4.3,6.016,0.343,64.8,53.7,2.5,8.6,26.8,8.4
2602,Chatillon,8094,16809,12028.7,43.0,13230,18710,24890,11660,7580,11690,14400,16640,20780,23420,26940,33210,4.4,5.836,0.312,55.3,46.5,2.7,6.0,39.0,5.7
2603,Dijon,183284,402718,280047.5,55.7,15380,22160,30170,14780,9030,13660,16890,19580,24880,28150,32660,40920,4.5,6.071,0.326,66.6,58.7,2.5,5.3,28.6,4.8
2604,Montbard,14072,29759,21090.7,46.8,14290,19860,26300,12000,8840,12860,15590,17850,21980,24570,28320,34640,3.9,5.251,0.300,60.2,52.5,2.5,5.2,35.0,4.8
2605,Le Morvan,16011,30889,22799.6,42.2,12720,18410,25150,12440,7220,11300,13960,16170,20770,23570,27180,33750,4.7,6.030,0.315,45.3,36.1,2.5,6.7,48.6,6.1
2606,Nevers,53597,111186,79262.9,47.4,13570,19960,26660,13090,6610,11810,15030,17570,22330,25020,28650,35360,5.3,6.981,0.327,59.3,52.1,2.6,4.6,36.9,3.8
2607,Autun,14841,31063,22138.2,43.6,13500,19050,25810,12310,7840,12000,14790,16930,21400,24110,27810,34720,4.4,5.789,0.314,57.7,48.2,2.8,6.6,38.1,4.2
2608,Chalon-sur-Saône,85719,190811,132237.5,50.2,14590,20700,27860,13270,8610,13010,15940,18380,23120,26030,30130,37410,4.3,5.778,0.316,64.4,56.2,2.9,5.3,31.1,4.5
2609,Louhans,16636,35719,25185.0,44.2,13950,19540,25800,11850,8830,12630,15200,17410,21700,24260,27560,33340,3.8,4.914,0.288,58.5,50.5,2.8,5.2,37.4,4.1
2610,Le Creusot - Montceau,45059,95689,67633.0,44.3,13430,19320,25890,12450,7400,11780,14810,17110,21570,24260,27900,34390,4.6,6.052,0.312,59.1,51.9,3.1,4.1,37.6,3.3
