Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Géographie au 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Ecart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage (%),Part des indemnités chômage (%),Part des revenus d'activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN14,NBPERS14,NBUC14,PMIMP14,Q114,Q214,Q314,Q3_Q1,D114,D214,D314,D414,D614,D714,D814,D914,RD,S80S2014,GI14,PTSA14,PCHO14,PBEN14,PPEN14,PAUT14
2409,Châteauroux,79195,168603,119025.6,52.1,13094.0,18802.0,25264.0,12170.0,7494.0,11600.0,14398.0,16670.0,21000.0,23662.0,27254.0,33590.0,4.5,6.0,0.3,51.0,2.9,5.6,35.5,5.0
2410,Chinon,15409,34412,23892.6,56.8,14258.0,20088.0,27768.0,13510.0,9070.0,12916.0,15472.0,17762.0,22624.0,25758.0,30184.0,37650.0,4.2,5.5,0.3,53.2,2.8,6.5,33.1,4.4
2411,Loches,10577,22591,15950.7,51.3,13494.0,18696.0,25182.0,11688.0,8500.0,12160.0,14644.0,16700.0,20988.0,23662.0,27068.0,33696.0,4.0,5.3,0.3,48.3,3.0,6.1,36.4,6.2
2412,Tours,231080,520509,358177.8,58.8,14398.0,20680.0,28370.0,13972.0,8238.0,12774.0,15814.0,18304.0,23254.0,26396.0,30780.0,38684.0,4.7,6.2,0.3,59.0,2.9,4.6,28.8,4.7
2413,Blois,77084,175917,120560.0,59.4,14196.0,20378.0,27648.0,13452.0,7994.0,12546.0,15598.0,18080.0,22900.0,25830.0,29914.0,37112.0,4.6,6.1,0.3,55.8,2.9,5.1,31.4,4.8
2414,Romorantin-Lanthenay,25904,56354,39506.4,52.6,13106.0,18722.0,25037.0,11931.0,7372.0,11628.0,14352.0,16626.0,20922.0,23502.0,26954.0,33384.0,4.5,5.9,0.3,47.9,3.3,4.6,39.7,4.5
2415,Vendôme,29427,65436,45404.9,56.2,14238.0,19758.0,26304.0,12066.0,8666.0,12762.0,15466.0,17636.0,21968.0,24594.0,28340.0,35382.0,4.1,5.5,0.3,51.9,2.9,6.7,33.2,5.3
2416,Gien,33251,75196,51739.3,56.5,13178.0,19478.0,26436.0,13258.0,7190.0,11504.0,14668.0,17140.0,21906.0,24710.0,28472.0,35356.0,4.9,6.3,0.3,53.7,3.2,4.8,33.8,4.5
2417,Montargis,54925,126619,86342.4,56.5,12772.0,19232.0,26244.0,13472.0,6820.0,11062.0,14268.0,16884.0,21724.0,24524.0,28388.0,35122.0,5.1,6.8,0.3,53.4,3.4,5.1,33.2,4.9
2418,Orléans,200838,477899,321591.2,63.5,14592.0,21476.0,29428.0,14836.0,8110.0,12796.0,16160.0,18882.0,24208.0,27454.0,31840.0,39652.0,4.9,6.3,0.3,61.5,2.9,4.3,26.6,4.7
2419,Pithiviers,21396,52727,35088.1,58.5,13862.0,19812.0,26714.0,12852.0,8486.0,12296.0,15236.0,17592.0,22142.0,24982.0,28730.0,35420.0,4.2,5.4,0.3,58.6,3.4,6.4,26.9,4.7
2501,Bayeux,22548,51802,35497.5,53.7,13508.0,19300.0,25937.0,12429.0,8200.0,12072.0,14820.0,17068.0,21648.0,24270.0,28046.0,35006.0,4.3,5.6,0.3,51.4,3.1,6.6,33.5,5.4
2502,Caen,198564,459230,312943.1,58.1,14210.0,20436.0,27764.0,13554.0,8174.0,12608.0,15600.0,18064.0,22952.0,25954.0,30056.0,37656.0,4.6,6.1,0.3,58.5,3.2,5.1,28.2,5.0
2503,Honfleur,24570,52067,36870.0,58.8,13784.0,20010.0,28826.0,15042.0,8240.0,12222.0,15098.0,17528.0,22842.0,26338.0,31802.0,42168.0,5.1,7.1,0.4,46.6,3.1,7.1,34.3,8.9
2504,Lisieux,29631,67658,46398.3,50.8,12424.0,18164.0,24820.0,12396.0,6740.0,10824.0,13736.0,16050.0,20464.0,23188.0,26900.0,33908.0,5.0,6.9,0.3,53.3,3.5,5.7,32.3,5.2
2505,Vire,17131,38817,26751.5,48.6,12890.0,18030.0,23870.0,10980.0,7698.0,11436.0,14110.0,16156.0,20060.0,22382.0,25566.0,31290.0,4.1,5.5,0.3,53.2,2.7,7.2,31.8,5.1
2506,Avranches,39624,88643,61403.6,50.5,13610.0,18680.0,24568.0,10958.0,8730.0,12282.0,14742.0,16690.0,20690.0,23106.0,26303.0,32040.0,3.7,4.9,0.3,51.2,2.5,8.1,32.6,5.6
2507,Cherbourg-Octeville,89305,202744,139553.9,54.4,13586.0,19554.0,26638.0,13052.0,8148.0,12104.0,14898.0,17302.0,22046.0,24914.0,28814.0,35338.0,4.3,5.6,0.3,57.3,3.1,5.3,30.1,4.2
2508,Coutances,26235,58535,40563.3,50.1,13112.0,18554.0,25078.0,11966.0,7934.0,11744.0,14344.0,16474.0,20708.0,23402.0,27160.0,34302.0,4.3,5.8,0.3,46.7,2.8,9.3,35.8,5.4
2509,Granville,24530,52095,36855.4,54.8,14032.0,19746.0,27350.0,13318.0,8746.0,12576.0,15246.0,17522.0,22230.0,25398.0,29794.0,38032.0,4.3,5.8,0.3,43.7,2.7,7.3,39.6,6.7
2510,Saint-Lô,36986,84670,57936.4,52.4,13802.0,19190.0,25450.0,11648.0,8410.0,12350.0,15036.0,17170.0,21327.0,23890.0,27446.0,33521.0,4.0,5.2,0.3,56.4,3.0,6.2,30.0,4.4
2511,Argentan,17796,39668,27472.0,51.0,12782.0,18422.0,24456.0,11674.0,7128.0,11208.0,14122.0,16366.0,20554.0,22920.0,26280.0,32102.0,4.5,5.9,0.3,51.6,3.2,6.3,34.2,4.7
2512,Flers,43462,97276,67303.5,50.3,13020.0,18240.0,24102.0,11082.0,7636.0,11542.0,14258.0,16326.0,20278.0,22628.0,25824.0,31546.0,4.1,5.6,0.3,51.2,3.1,6.4,33.9,5.4
