Revenus fiscaux des ménages - Année 2004,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC04,RFUCQ104,RFUCQ204,RFUCQ304,RFUCIQ04,RFUCD104,RFUCD204,RFUCD304,RFUCD404,RFUCD604,RFUCD704,RFUCD804,RFUCD904,RFUCRD04,RFUCET04,RFUCMO04,RFUCGI04
2505,25,Saint-Lô,35661,88213,58232.6,10267,14647,19911,9644,6539,9231,11216,12988,16461,18584,21548,26757,4.1,11777.80,16389.78,0.3131
2506,25,Avranches-Granville,48251,114812,79461.4,10248,14449,19941,9693,6769,9320,11105,12764,16301,18535,21669,27569,4.1,14440.81,16844.22,0.3278
2507,25,Coutances,24375,59516,40359.9,9621,13818,19175,9554,6027,8638,10540,12184,15659,17855,20840,26655,4.4,13720.46,15965.25,0.3342
2508,25,Flers,44919,110532,72643.3,9928,14093,18932,9004,6275,8924,10847,12472,15768,17742,20319,25167,4.0,13703.77,15763.05,0.3150
2509,25,Alençon-Argentan,42870,105607,67060.3,9719,14505,20108,10389,5380,8498,10847,12699,16488,18741,21787,27368,5.1,13388.64,16292.87,0.3397
2510,25,Mortagne-au-Perche-L'Aigle,34106,83736,55353.4,9888,14296,19430,9542,5955,8747,10855,12607,16040,18122,21014,26340,4.4,12334.96,16011.55,0.3261
2610,26,Mâcon,45701,108503,73894.3,10679,15772,21849,11170,6570,9493,11801,13767,17866,20296,23729,30062,4.6,14201.69,17857.10,0.3302
2612,26,Dijon,146174,350448,226650.0,11914,17321,23812,11898,7391,10646,13081,15224,19571,22172,25799,32523,4.4,15244.56,19628.97,0.3235
2613,26,Auxerre,54633,132758,87598.2,10665,15665,21628,10963,6478,9462,11764,13721,17715,20147,23473,29588,4.6,15167.00,17847.22,0.3336
2615,26,Nevers,61880,142539,92941.9,10226,15083,20816,10590,5879,8980,11313,13248,17128,19423,22527,27949,4.8,13226.71,16777.15,0.3293
2641,26,Chalon-sur-Saône,61458,149825,100821.2,10794,15609,21453,10659,6719,9663,11837,13729,17580,19960,23205,29086,4.3,13257.11,17638.12,0.3226
2643,26,Châtillon-sur-Seine,9382,23059,14551.9,9731,13937,19157,9426,6120,8713,10633,12281,15698,17841,20884,25981,4.2,11769.87,15821.95,0.3217
2644,26,Sens,39295,98620,66332.4,10749,15688,21503,10754,6694,9563,11852,13780,17704,20047,23177,28854,4.3,13986.84,17607.73,0.3213
2651,26,Montbard,16930,41117,26465.7,10172,14398,19713,9541,6347,9143,11061,12705,16227,18456,21312,26529,4.2,12527.90,16115.02,0.3145
2652,26,Avallon,18609,45788,29271.7,9647,14179,19731,10084,5772,8538,10701,12489,16049,18367,21433,27192,4.7,15598.11,16240.89,0.3388
2654,26,Cosne-sur-Loire,21628,48154,32697.3,9974,14535,19981,10007,5978,8923,10981,12755,16406,18716,21523,27025,4.5,13016.12,16401.82,0.3294
2656,26,Autun,17574,41612,26958.5,9719,14110,19580,9861,5953,8626,10638,12359,15965,18281,21316,26766,4.5,11793.57,15986.95,0.3272
2660,26,Joigny,22803,56055,37140.1,9869,14666,20186,10317,5783,8685,10963,12893,16651,18864,21862,27172,4.7,12204.02,16343.53,0.3280
2662,26,Decize,15179,34505,22934.3,9659,13870,18920,9261,5921,8566,10519,12214,15619,17635,20426,25149,4.2,11067.40,15368.25,0.3155
2664,26,Le Creusot,22056,53097,33374.0,9906,14349,19633,9727,6048,8795,10884,12600,16187,18312,21097,26136,4.3,10743.24,15872.02,0.3138
2666,26,Beaune,36727,92131,60685.3,10899,15633,21476,10577,7085,9804,11895,13823,17633,20009,23302,29706,4.2,15305.28,18169.47,0.3320
2672,26,Montceau-les-Mines,24192,56356,36984.8,9903,14034,18930,9027,6114,8851,10879,12566,15741,17742,20327,25114,4.1,11542.20,15543.35,0.3109
2680,26,Charollais,36060,86980,57408.1,10102,14087,19029,8927,6552,9175,10950,12527,15757,17769,20456,25551,3.9,11212.24,15760.94,0.3063
2695,26,Louhans,20675,48520,33901.8,9905,14046,19061,9156,6809,9126,10720,12371,15791,17851,20423,25188,3.7,11164.83,15677.24,0.3009
3110,31,Roubaix-Tourcoing,149403,417775,259455.5,8105,13845,20088,11983,3716,6840,9376,11703,16000,18522,21959,28194,7.6,14974.49,15966.24,0.3898
3111,31,Lille,302755,764251,480357.9,9785,15892,23093,13308,4963,8308,11166,13571,18343,21291,25331,32541,6.6,16199.78,18393.24,0.3747
3112,31,Dunkerque,95298,263018,164991.1,8856,13847,19816,10960,5177,7732,9912,11889,15940,18388,21537,26878,5.2,12070.28,15705.37,0.3462
3113,31,Flandre-Lys,41187,116684,74431.0,10337,14916,20572,10235,6625,9300,11315,13160,16849,19182,22287,27683,4.2,13007.37,16922.15,0.3171
3114,31,Douaisis,89335,246987,154683.9,8576,13497,19609,11033,4666,7453,9638,11651,15611,18087,21387,26905,5.8,13260.27,15470.91,0.3582
3115,31,Valenciennois,129722,348994,217896.2,7525,12486,18417,10892,3605,6442,8592,10579,14525,16963,20106,25596,7.1,13463.30,14394.76,0.3800
3116,31,Cambresis,67530,176360,113414.3,8964,13653,19310,10346,5158,7865,9981,11835,15596,17910,21004,26408,5.1,13585.14,15671.72,0.3517
3117,31,Sambre-Avesnois,88672,238466,148337.4,7212,12208,18144,10933,2990,6121,8225,10260,14305,16697,19882,25399,8.5,12065.31,14033.28,0.3875
3121,31,Artois-Ternois,86840,231265,148606.4,9788,14823,21043,11255,5877,8624,10842,12819,16993,19529,22859,29048,4.9,14639.63,17106.16,0.3471
3122,31,Lens-Hénin,135963,371443,230437.3,7103,11893,17047,9944,3458,6126,8082,10035,13672,15775,18571,23220,6.7,10497.82,13206.16,0.3642
3123,31,Béthune-Bruay,107282,287064,182848.3,8670,13340,18983,10313,5013,7598,9710,11603,15306,17597,20648,25917,5.2,12593.89,15192.56,0.3488
3124,31,Saint-Omer,40509,112845,71787.9,8800,13320,18735,9935,5379,7834,9723,11531,15228,17447,20288,25497,4.7,13671.85,15307.99,0.3480
3125,31,Calaisis,57909,158989,101484.0,8237,13119,18913,10676,4335,7185,9304,11235,15145,17479,20578,25735,5.9,12003.48,14856.97,0.3602
3126,31,Boulonnais,60959,163159,103423.7,8204,13126,19078,10874,4395,7146,9257,11183,15129,17566,20869,26708,6.1,13879.74,15233.79,0.3731
3127,31,Berck-Montreuil,38329,99288,66741.2,9166,13848,19873,10707,5503,8105,10136,11966,15949,18348,21682,28215,5.1,15647.70,16415.75,0.3627
4111,41,Longwy,33473,82700,54685.7,7274,13072,19151,11877,0,5512,8791,11097,15161,17663,20891,26335,,12417.46,14239.00,0.4050
4112,41,Briey,29580,74350,49556.5,10215,14425,19880,9665,6198,9148,11126,12677,16312,18507,21416,26256,4.2,11444.00,15970.46,0.3144
4113,41,Thionville,119326,314934,204889.0,9810,14760,20847,11037,4485,8472,10937,12835,16898,19347,22665,28371,6.3,13559.31,16393.67,0.3519
4121,41,Lunéville,29892,76782,50360.5,9877,14297,19398,9521,5916,8723,10848,12673,16037,18150,20924,25892,4.4,11465.56,15711.90,0.3147
4122,41,Nancy,173605,415106,260542.1,10971,16636,23279,12308,6028,9564,12203,14474,18943,21617,25307,32084,5.3,15661.09,18842.98,0.3467
4123,41,Toul,23403,64841,41873.4,10662,15538,21215,10553,6781,9521,11664,13574,17522,19899,22878,28365,4.2,12011.29,17165.11,0.3107
4130,41,Metz,107584,272051,173037.9,10769,16654,23653,12884,5867,9376,12008,14340,19053,21923,25847,32958,5.6,18269.80,19235.12,0.3609
4141,41,Bassin houiller,98534,265797,170179.3,9918,14539,20194,10276,5899,8762,10979,12823,16482,18848,21861,27170,4.6,12427.07,16327.14,0.3236
4142,41,Sarreguemines,32075,84847,54864.1,11232,15749,21654,10422,7298,10176,12193,13910,17823,20143,23381,28973,4.0,13956.71,17854.58,0.3120
4150,41,Sarrebourg,32339,85818,54995.7,10663,15036,20200,9537,7030,9655,11626,13324,16886,18897,21710,26468,3.8,14426.91,16672.47,0.3012
4160,41,Meuse du nord,33257,83953,54247.7,9588,13981,19484,9896,5661,8491,10537,12244,15905,18133,21160,26273,4.6,12168.85,15691.02,0.3303
4171,41,Bar-le-Duc,25896,64400,41772.9,10464,15317,20860,10396,6534,9278,11512,13466,17244,19571,22463,27681,4.2,12102.54,16938.93,0.3145
