Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
2206,Soissons,39080,91685,62244.4,45.3,12288,18788,25854,13566,6264,10590,13760,16378,21262,24124,27996,34914,5.6,7.480,0.344,64.8,56.5,3.4,4.9,30.4,4.8
2207,Beauvais,100012,250440,165798.1,52.4,13832,20574,27698,13866,7558,12074,15376,18084,23090,25966,29788,36386,4.8,6.254,0.318,70.6,63.1,3.3,4.2,25.5,3.9
2208,Compiègne,81686,199144,133268.3,54.0,14442,21234,29094,14652,8308,12746,15924,18658,23932,27144,31556,39588,4.8,6.287,0.328,69.9,62.8,3.1,4.0,25.7,4.4
2209,Abbeville,29474,67751,46472.6,43.2,12122,18422,25430,13308,5952,10360,13568,16084,20802,23620,27476,34910,5.9,7.971,0.353,61.7,51.7,3.1,6.8,32.6,5.7
2210,Amiens,156943,365033,248413.9,48.4,12652,19654,27300,14648,6092,10764,14280,17080,22324,25414,29602,37168,6.1,8.168,0.355,68.0,59.1,3.1,5.7,27.2,4.8
2211,Péronne,23192,55028,37229.1,42.4,11840,18062,24672,12832,6124,10194,13312,15768,20386,22992,26776,33178,5.4,7.398,0.343,64.8,54.7,3.8,6.4,30.4,4.8
2301,Bernay,25305,57194,39412.3,47.7,13540,19614,26503,12963,7734,11910,14856,17380,22050,24820,28538,35052,4.5,6.158,0.319,61.5,53.0,3.3,5.1,33.4,5.1
2302,Évreux,90205,216097,145263.1,52.0,13970,20580,27916,13946,7500,12258,15496,18128,23126,26084,30078,37058,4.9,6.506,0.325,67.6,60.2,3.3,4.1,28.0,4.4
2303,Pont-Audemer,22355,52604,35608.3,46.7,13678,19692,26630,12952,8084,12156,14996,17450,22168,24956,28730,35506,4.4,5.883,0.318,66.3,58.1,3.4,4.9,28.8,4.9
2304,Vernon - Gisors,49677,122415,81626.0,53.9,14316,20948,28542,14226,8270,12596,15828,18448,23542,26606,30866,38396,4.6,6.064,0.321,68.8,61.6,3.4,3.8,27.1,4.1
2305,Dieppe - Caux maritime,53101,121467,83375.9,46.6,13292,19390,26364,13072,7222,11598,14682,17140,21750,24604,28572,35808,5.0,6.558,0.327,63.6,55.1,3.1,5.4,32.1,4.3
2306,Le Havre,168771,391148,266209.1,50.3,13198,20138,27858,14660,6506,11350,14780,17544,22838,25974,30142,37380,5.7,7.529,0.342,67.3,59.7,3.4,4.2,28.9,3.8
2307,Rouen,345553,797856,543522.2,51.1,13670,20652,28410,14740,6870,11772,15284,18110,23342,26482,30760,38424,5.6,7.349,0.341,68.5,61.0,3.2,4.4,27.5,4.0
2401,Bourges,87415,190608,133135.4,50.3,14088,20454,27612,13524,7580,12345,15536,18070,22884,25798,29748,36692,4.8,6.397,0.321,63.1,55.9,2.6,4.5,32.4,4.5
2402,Saint-Amand-Montrond,16819,34203,24677.7,39.9,12034,17914,24184,12150,6022,10526,13456,15742,20159,22674,26114,32270,5.4,6.957,0.328,52.9,44.1,2.9,6.0,42.6,4.5
2403,Vierzon,20704,44697,31361.8,42.6,12260,18468,24858,12598,5236,10448,13886,16288,20692,23312,26752,32742,6.3,7.855,0.332,58.2,51.1,3.2,3.8,38.1,3.7
2404,Chartres,104651,246826,166979.5,56.6,15620,21886,29274,13654,9566,13930,17042,19516,24426,27430,31504,38842,4.1,5.280,0.302,68.5,61.5,2.8,4.2,27.1,4.4
2405,Châteaudun,15723,35062,24280.8,47.4,13462,19284,25628,12166,7530,11846,14836,17152,21482,24136,27602,33930,4.5,5.855,0.309,58.0,50.3,2.8,4.9,37.0,5.0
2406,Dreux,44450,113750,74606.6,51.8,13296,20378,27854,14558,7000,11464,14914,17766,22998,26050,30116,37254,5.3,6.899,0.333,68.9,61.5,3.5,3.9,27.0,4.1
2407,Le Blanc,10037,20505,14773.7,39.1,13052,18274,24214,11162,7816,11582,14174,16126,20324,22666,26016,32119,4.1,5.451,0.303,52.6,44.2,2.5,5.9,42.5,4.9
2408,Issoudun,9085,19223,13622.3,48.0,13896,19700,26210,12314,8152,12414,15182,17664,22004,24648,27974,34460,4.2,5.611,0.307,62.1,54.7,3.0,4.4,33.1,4.8
2409,Châteauroux,78690,165342,117417.7,44.2,13342,19118,25610,12268,7532,11786,14636,16936,21348,24012,27566,33882,4.5,5.965,0.315,58.8,51.0,2.9,4.9,36.5,4.7
2410,Chinon,15623,34580,24120.0,49.9,14588,20590,28425,13837,9044,13094,15868,18180,23191,26335,30786,38643,4.3,5.624,0.316,61.5,52.3,2.8,6.4,34.1,4.4
2411,Loches,10715,22568,16041.1,43.8,13628,19096,25448,11820,8454,12246,14762,16868,21164,23848,27646,34314,4.1,5.404,0.306,56.7,48.4,3.0,5.3,37.6,5.7
2412,Tours,236791,528973,365449.3,51.7,14514,20960,28750,14236,7986,12818,15994,18538,23578,26780,31216,39134,4.9,6.528,0.331,66.4,59.1,2.9,4.3,29.1,4.5
2413,Blois,77406,175603,120772.9,52.3,14438,20806,28082,13644,8082,12772,15898,18450,23340,26248,30312,37534,4.6,6.081,0.318,63.5,55.8,2.9,4.7,32.1,4.4
2414,Romorantin-Lanthenay,25892,55638,39225.6,45.1,13419,19116,25528,12109,7408,11884,14714,17018,21294,23932,27456,33824,4.6,5.979,0.313,55.5,48.1,3.1,4.3,40.1,4.4
2415,Vendôme,29302,64282,44901.2,48.9,14468,20176,26726,12258,8862,12986,15746,17994,22380,25056,28862,35840,4.0,5.431,0.308,61.0,53.0,2.7,5.3,34.0,5.0
2416,Gien,32955,73344,50840.1,49.6,13550,19902,26904,13354,7486,11786,14962,17466,22294,25182,28962,35766,4.8,6.251,0.321,61.0,53.6,3.1,4.2,34.4,4.6
2417,Montargis,55038,125532,86064.2,48.9,12974,19538,26460,13486,6886,11232,14442,17032,21972,24772,28582,35300,5.1,6.816,0.331,61.3,53.8,3.4,4.1,33.8,4.9
2418,Orléans,203287,478902,323714.3,56.7,14826,21808,29852,15026,8226,13016,16430,19196,24558,27848,32320,40138,4.9,6.319,0.326,68.3,61.6,2.9,3.8,27.0,4.7
2419,Pithiviers,21406,52204,34907.6,50.9,14164,20038,26714,12550,8498,12618,15486,17846,22400,25118,28690,35196,4.1,5.398,0.306,66.8,58.9,3.4,4.6,27.7,5.5
2501,Bayeux,22767,51310,35465.8,47.1,14112,19894,26648,12536,8764,12672,15362,17680,22258,24996,28758,35674,4.1,5.451,0.312,60.4,51.0,2.9,6.5,34.2,5.4
2502,Caen,200557,457509,313674.3,51.5,14538,20924,28342,13804,8358,12912,15972,18542,23454,26482,30680,38482,4.6,6.175,0.326,66.2,58.4,3.0,4.8,28.9,4.9
2503,Honfleur,24649,51261,36604.4,52.7,14222,20692,29576,15354,8606,12642,15622,18188,23562,27184,32424,43664,5.1,7.217,0.371,55.8,46.1,3.0,6.7,34.8,9.4
2504,Lisieux,28707,64346,44499.2,43.9,12866,18780,25526,12660,7114,11290,14252,16632,21030,23760,27502,34558,4.9,6.572,0.331,62.2,53.4,3.1,5.7,32.9,4.9
2505,Vire Normandie,18992,42628,29494.2,40.5,13266,18428,24258,10992,7934,11794,14414,16512,20468,22778,25875,31570,4.0,5.371,0.302,62.4,53.1,2.7,6.6,32.6,5.0
2506,Avranches,39444,87361,60788.2,42.3,13926,19088,25054,11128,8908,12588,15050,17140,21128,23592,26838,32734,3.7,4.921,0.292,60.9,51.7,2.5,6.8,33.5,5.6
2507,Cherbourg-en-Cotentin,89724,200835,139108.7,47.9,14096,20096,27234,13138,8394,12552,15406,17768,22586,25512,29410,36288,4.3,5.591,0.308,65.2,57.2,2.9,5.1,30.8,4.0
2508,Coutances,26672,58462,40876.4,43.5,13644,18990,25652,12008,8264,12256,14766,16926,21280,23974,27714,34900,4.2,5.641,0.318,57.8,46.5,2.7,8.6,36.6,5.6
2509,Granville,25031,52501,37376.1,48.3,14568,20394,28198,13630,9338,13144,15808,18098,22990,26202,30532,38886,4.2,5.674,0.325,53.1,43.7,2.6,6.8,40.0,6.9
2510,Saint-Lô,37538,85143,58518.9,44.9,14018,19522,25736,11718,8500,12544,15278,17510,21620,24152,27700,33856,4.0,5.243,0.297,64.7,56.3,2.9,5.5,31.0,4.3
2511,Argentan,18032,39660,27635.1,43.1,13040,18866,24880,11840,7172,11530,14344,16676,20948,23394,26650,32548,4.5,6.033,0.312,59.9,51.3,2.8,5.8,35.4,4.7
2512,Flers,42258,93467,65076.7,42.1,13376,18648,24536,11160,7726,11834,14582,16716,20670,23054,26310,32368,4.2,5.611,0.305,59.7,51.2,2.9,5.5,35.1,5.2
2513,L'Aigle,14122,31214,21709.8,43.9,12555,18417,25190,12635,6744,10876,13930,16348,20840,23522,27086,33126,4.9,6.697,0.329,59.4,50.7,3.0,5.7,35.6,5.0
