Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16
2401,Bourges,87415,190625,133140.5,15363,20438,26269,10906,11248,14195,16495,18520,22439,24799,28076,33892,3.0,3.631,0.251,67.2,59.7,2.7,4.9,33.8,8.8,5.7,2.0,2.2,1.5,-15.5
2402,Saint-Amand-Montrond,16819,34208,24680.2,13888,18367,23596,9708,10184,12803,14825,16622,20188,22285,25179,30283,3.0,3.611,0.249,54.8,45.7,2.8,6.2,43.0,8.7,6.8,1.9,3.1,1.7,-13.3
2403,Vierzon,20706,44706,31366.1,14143,18832,24066,9923,10198,13003,15181,17044,20693,22833,25642,30637,3.0,3.610,0.247,60.2,53.0,3.2,4.0,38.5,7.9,7.2,2.3,3.0,1.9,-13.8
2404,Chartres,104620,246819,166954.9,16595,21744,27772,11176,12346,15361,17749,19814,23819,26267,29629,35673,2.9,3.486,0.243,74.4,66.9,2.9,4.6,28.8,8.5,4.5,2.2,1.3,1.0,-16.2
2405,Châteaudun,15716,35048,24270.7,14874,19625,24760,9886,10873,13766,15931,17893,21365,23554,26376,31628,2.9,3.485,0.241,61.3,53.2,2.8,5.3,38.1,9.5,5.5,2.4,1.8,1.4,-14.4
2406,Dreux,44427,113718,74578.9,15076,20541,26626,11549,10803,13733,16262,18494,22709,25126,28497,34221,3.2,3.803,0.258,73.7,66.0,3.6,4.2,28.3,7.5,6.1,3.0,1.8,1.4,-15.6
2407,Le Blanc,10037,20522,14781.8,14408,18695,23612,9204,10896,13505,15274,16912,20439,22381,25128,30329,2.8,3.376,0.239,54.9,46.2,2.5,6.2,43.3,9.1,5.7,1.9,2.4,1.4,-13.0
2408,Issoudun,9080,19212,13614.7,15215,19913,25096,9880,11543,14121,16270,18227,21722,23875,26620,31902,2.8,3.375,0.238,65.8,58.1,3.1,4.7,34.3,9.1,5.6,1.8,2.3,1.5,-14.8
2409,Châteauroux,78683,165346,117413.6,14780,19434,24726,9946,11073,13761,15755,17616,21236,23387,26300,31658,2.9,3.476,0.244,61.9,53.8,2.9,5.2,37.5,9.0,5.8,2.0,2.3,1.5,-14.2
2410,Chinon,15618,34573,24114.0,15681,20653,27064,11383,11895,14554,16682,18677,22737,25314,29183,35512,3.0,3.625,0.254,66.1,56.3,2.9,6.9,35.8,8.5,4.8,1.8,1.8,1.1,-15.2
