Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décille,rapport interdécile D9/D1,S80/S20,indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,PMIMP12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSA12,PCHO12,PBEN12,PPEN12,PAUT12
2204,Laon,40932.0,98545.0,66062.0,57.5,11282.0,17522.0,24546.0,13264.0,6034.0,9762.0,12678.0,15206.0,19948.0,22852.0,26600.0,33616.0,5.6,7.6,0.4,57.2,3.5,7.8,26.3,5.2
2205,Saint-Quentin,57588.0,136529.0,92090.3,56.3,10172.0,16792.0,23870.0,13698.0,4696.0,8574.0,11714.0,14340.0,19316.0,22118.0,26006.0,33018.0,7.0,9.7,0.4,54.8,3.8,7.5,28.8,5.1
2206,Soissons,38652.0,92729.0,62385.6,59.6,11690.0,17748.0,24706.0,13016.0,6504.0,10220.0,13072.0,15482.0,20234.0,23064.0,26844.0,33818.0,5.2,7.2,0.3,56.8,3.6,6.6,27.8,5.2
2207,Beauvais,96905.0,248130.0,162842.7,65.8,13176.0,19578.0,26632.0,13456.0,7600.0,11596.0,14606.0,17192.0,22056.0,24946.0,28730.0,35328.0,4.6,6.2,0.3,63.2,3.4,5.5,23.2,4.7
2208,Compiègne,80013.0,199482.5,132252.3,66.9,13466.0,20000.0,27716.0,14250.0,7914.0,11916.0,14902.0,17480.0,22638.0,25798.0,30046.0,37812.0,4.8,6.4,0.3,62.9,3.3,4.9,23.6,5.3
2209,Abbeville,29272.0,69298.5,46889.3,56.9,11208.0,17260.0,24202.0,12994.0,5780.0,9600.0,12514.0,14916.0,19636.0,22448.0,26406.0,33864.0,5.9,7.9,0.4,52.6,3.1,8.6,29.4,6.3
2210,Amiens,155003.0,368034.5,248216.2,61.6,12048.0,18606.0,26020.0,13972.0,6326.0,10420.0,13512.0,16140.0,21196.0,24192.0,28260.0,35772.0,5.7,7.8,0.4,59.2,3.1,6.9,25.1,5.7
2211,Péronne,23250.0,56529.5,37864.6,56.5,11038.0,16878.0,23374.0,12336.0,6088.0,9682.0,12416.0,14704.0,19216.0,21810.0,25370.0,31966.0,5.3,7.2,0.3,54.3,3.8,8.1,28.3,5.5
2301,Bernay,25136.0,58174.0,39685.7,61.7,12772.0,18604.0,25320.0,12548.0,7622.0,11268.0,14024.0,16428.0,20922.0,23742.0,27312.0,34232.0,4.5,6.2,0.3,53.4,3.6,6.7,30.4,5.9
2302,Évreux,88140.0,215294.0,143542.3,66.0,13510.0,19770.0,26886.0,13376.0,7666.0,11882.0,14912.0,17420.0,22248.0,25150.0,28996.0,36142.0,4.7,6.3,0.3,60.8,3.4,5.4,25.3,5.1
