Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
2501,25,Caen-Bayeux,328049.2,11981,17418,24054,12073,7240,10630,13155,15320,19690,22364,26093,32956,4.6,17708.75,19898.60,0.3342
2502,25,Lisieux,84302.3,10979,16213,22764,11785,6581,9740,12102,14211,18415,21039,24875,32730,5.0,20210.46,19376.59,0.3654
2503,25,Vire,37070.2,10676,15062,20363,9687,6557,9610,11597,13347,16836,19009,21938,26954,4.1,15929.66,16837.76,0.3171
2504,25,Cherbourg-Octeville,132424.2,10977,16037,22162,11185,6705,9741,12069,14118,18186,20688,23972,29766,4.4,13774.28,17985.50,0.3246
2505,25,Saint-Lô,60761.4,11450,16163,21773,10323,7163,10271,12502,14359,18071,20307,23527,28903,4.0,16333.60,18108.87,0.3150
2506,25,Avranches-Granville,83058.4,11473,16088,22025,10552,7572,10408,12459,14315,18105,20533,23939,30467,4.0,17171.83,18717.33,0.3270
2507,25,Coutances,42609.8,10880,15410,21137,10257,6846,9777,11865,13678,17340,19669,23020,29360,4.3,16693.67,17865.45,0.3338
2508,25,Flers,74768.9,11039,15534,20717,9678,6904,9918,12037,13829,17279,19423,22288,27560,4.0,15832.83,17405.97,0.3168
2509,25,Alençon-Argentan,68801.8,10789,15934,21951,11162,5941,9455,11921,13993,17998,20420,23777,29733,5.0,14260.24,17840.54,0.3378
2510,25,Mortagne-au-Perche-L'Aigle,56922.6,11038,15906,21441,10403,6647,9844,12122,14017,17803,20061,23275,29107,4.4,13847.39,17802.30,0.3256
2610,26,Mâcon,76574.2,11945,17313,23952,12007,7379,10641,13089,15248,19518,22274,26076,33269,4.5,16770.04,19865.41,0.3329
